brand,product_line,rule_category,rule_name,rule_condition,rule_action,source_key,evidence_status
Schwarzkopf Professional,IGORA ROYAL Core,processing,igora_royal_natural_standard_use,"{""sub_ranges"": [""Nature"", ""Cendré"", ""Beige""], ""tone_codes"": [""0"", ""1"", ""4""]}","{""white_hair_coverage_pct"": 100, ""mixing_ratio"": ""1:1"", ""developer_volumes"": [10, 20, 30], ""processing_time_min"": [30, 45], ""notes"": ""Natural shades cover up to level 9.""}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL Core,gray_coverage,igora_royal_nature_extra_resistant_hair,"{""sub_range"": ""Nature Extra"", ""tone_code"": ""00""}","{""white_hair_coverage_pct"": 100, ""mixing_ratio"": ""1:1"", ""default_developer_volume"": 30, ""processing_time_min"": [30, 45], ""tip"": ""For pure color deposit on more than 90% white hair use 20 vol.""}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL Core,gray_coverage,igora_royal_fashion_gray_blending_mix_natural,"{""sub_ranges"": [""Cendré Plus"", ""Gold/Gold Extra"", ""Gold Copper"", ""Chocolate"", ""Chocolate Gold"", ""Chocolate Red"", ""Copper/Copper Extra"", ""Red Extra"", ""Violet Red/Violet Extra""], ""gray_pct_range"": [50, 100]}","{""white_hair_coverage_pct"": 70, ""mixing_ratio"": ""1:1"", ""coverage_formula"": ""2 parts Fashion Shade : 1 part Natural Shade for 50-100% white hair; fashion shade alone up to 50%; mix 1:1 with natural shade on thick/resistant hair"", ""developer_volumes"": [10, 20, 30], ""processing_time_min"": [30, 45]}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL Highlifts,lift,igora_royal_10_series_ultra_blonde,"{""sub_range"": ""Highlift 10-series"", ""starting_level_min"": 7}","{""max_lift_levels"": 4, ""mixing_ratio"": ""1:1"", ""developer_options"": [{""volume"": 30, ""lift_levels"": 3}, {""volume"": 40, ""lift_levels"": 4}], ""processing_time_min"": [30, 45], ""white_hair_coverage"": false}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL Highlifts,lift,igora_royal_12_series_special_blonde,"{""sub_range"": ""Highlift 12-series"", ""starting_level_min"": 6}","{""max_lift_levels"": 5, ""mixing_ratio"": ""1:2"", ""developer_options"": [{""volume"": 30, ""lift_levels"": 4}, {""volume"": 40, ""lift_levels"": 5}], ""processing_time_min"": [30, 45], ""white_hair_coverage"": false}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL Pastels,toning,igora_royal_95_series_pastel_toning,"{""sub_range"": ""Pastels"", ""target_level_min"": 9, ""hair_state"": ""pre_lightened_pale_yellow""}","{""mixing_ratio"": ""1:1"", ""developer_volume"": 10, ""processing_time_min"": [5, 30], ""process_visually"": true, ""usage"": [""personalization"", ""white refining"", ""neutralization after lightening""]}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL Creative Mixtones,neutralization,igora_royal_neutralizer_amount_by_level,"{""modifier_codes"": [""0-11"", ""0-22"", ""0-33""]}","{""amount_by_level"": [{""levels"": [8, 9], ""max_pct_of_color_cream"": 5}, {""levels"": [6, 7], ""max_pct_of_color_cream"": 15}, {""levels"": [1, 2, 3, 4, 5], ""max_pct_of_color_cream"": 25}], ""neutralizes"": {""0-11"": ""yellow"", ""0-22"": ""orange"", ""0-33"": ""red""}, ""increase_developer_proportionally"": true}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL Creative Mixtones,tone,igora_royal_booster_amount,"{""modifier_codes"": [""0-55"", ""0-77"", ""0-88"", ""0-89"", ""0-99""]}","{""max_pct_of_color_cream"": 50, ""usage"": ""boost fashion tone directions on all levels"", ""increase_developer_proportionally"": true, ""warning"": ""type and amount of mixtone influence target depth""}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL Extracts,tone,igora_royal_d0_diluter,"{""modifier_code"": ""D-0""}","{""max_pct_of_color_cream"": 50, ""usage"": [""reduce pigment concentration"", ""create soft pastel tones""], ""developer_volume"": 10, ""processing_time_min"": [5, 30], ""can_be_used_with_10vol_for_shine_on_light_bases"": true, ""mixing_ratio_when_pure"": ""1:1""}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL Extracts,lift,igora_royal_e0_lightening_additive,"{""modifier_code"": ""E-0"", ""usage"": ""mixed_with_target_shade""}","{""additional_lift_levels"": 1, ""mixing_ratio"": ""2:1 shade:E-0"", ""developer_volumes"": [10, 20, 30], ""processing_time_min"": [30, 45], ""hair_state"": ""virgin_hair""}",schwarzkopf_professional_igora_royal_quick_starter_technical_p7_10,manufacturer_stated
