canonical_key,brand_name,product_line_name,line_category,mixing_ratio_default,developer_default_volume,processing_time_default_minutes,technical_defaults_json,region_or_market,apparent_status,parent_company
Redken::Shades EQ Gloss::US,Redken,Shades EQ Gloss,demi,1:1,,20,"{""mixing_ratio"": ""1:1"", ""developer_volume"": null, ""processing_time_minutes"": 20, ""raw"": {""default_mixing_ratio"": [""redken_shades_eq_mix_process: \""1:1\""""], ""developer_options"": [""Shades EQ Gloss Processing Solution (official US 2022 chart: 'Use only with Shades EQ Gloss Processing Solution or Processing Solution for Precision Application')"", ""Shades EQ Processing Solution for Precision Application (official US 2022 chart)"", ""Gloss to Gel Processing Solution / Gloss to Gel Developer - transforms Shades EQ into a gel texture for precision application (salon-services UK chart)"", ""redken_shades_eq_mix_process: {\""mixing_ratio\"": \""1:1\"", \""developer\"": \""Shades EQ Processing Solution or Gloss to Gel Processing Solution\"", \""max_lift_levels\"": 0, \""processing_time_min\"": 20}""], ""developer_strengths_if_stated"": [""Gloss to Gel Developer described as '2% hydrogen peroxide specifically formulated to maintain an acidic pH' on the salon-services.com product listing (search extract, not from the fetched official chart)""], ""processing_time_ranges"": [""20 minutes at room temperature - standard processing for gloss, tone, refresh, correct, add dimension (official US 2022 chart '20 minute processing'; salon-services chart: 'Develop for 20 minutes')"", ""Gray blending, resistant hair, more vibrant results: process 15 minutes with plastic cap under a pre-heated warm dryer, then remove cap and cool 5 minutes at room temperature (official US 2022 chart)"", ""Resistant gray: 20 minutes with plastic cap under pre-heated warm dryer, then additional 20 minutes at room temperature (official Redken AU chart, 2013)"", ""20 minutes, up to 40 minutes for gray hair (official Redken AU chart, 2013, mixing table)"", ""Lighter color deposit / porous hair: process for the full recommended time at room temperature using 000 Crystal Clear in the formula or 09/010 level shades (official US 2022 chart)"", ""redken_shades_eq_mix_process: 20""]}}",US,active,L'Oréal (Professional Products Division)
Redken::Color Gels Lacquers::US,Redken,Color Gels Lacquers,permanent,1:1,20,20,"{""mixing_ratio"": ""1:1"", ""developer_volume"": 20, ""processing_time_minutes"": 20, ""raw"": {""default_mixing_ratio"": ""1:1 (color : developer), per the Mixing & Processing table on both official 2020 charts"", ""developer_options"": [""Pro-Oxide Cream Developer 10 volume"", ""Pro-Oxide Cream Developer 20 volume"", ""Pro-Oxide Cream Developer 30 volume"", ""Pro-Oxide Cream Developer 40 volume""], ""developer_strengths_if_stated"": [""10 volume"", ""20 volume"", ""30 volume"", ""40 volume""], ""processing_time_ranges"": [""10 volume: 20 minutes (minimal lift, up to 1 level)"", ""20 volume: 30-35 minutes per mini chart / 30 minutes per full-size chart (standard lift / gray coverage, up to 2 levels)"", ""30 volume: 40 minutes (additional lift, up to 3 levels)"", ""40 volume: 45 minutes (maximum lift, 3+ levels)"", ""Off-scalp / heat option: do not use heat (Mixing & Processing table)""]}}",US,active,L'Oréal (Professional Products Division)
Redken::Color Fusion::US,Redken,Color Fusion,permanent,1:1,,,"{""mixing_ratio"": ""1:1"", ""developer_volume"": null, ""processing_time_minutes"": null, ""raw"": {""default_mixing_ratio"": [""redken_color_fusion_mix_process: \""1:1\""""], ""developer_options"": [""redken_color_fusion_mix_process: {\""mixing_ratio\"": \""1:1\"", \""developer_volumes\"": [10, 20, 30, 40], \""processing_time_min\"": [35, 45], \""heat\"": false}""], ""developer_strengths_if_stated"": null, ""processing_time_ranges"": [""redken_color_fusion_mix_process: [35, 45]""]}}",US,active,L'Oréal (Professional Products Division)
Redken::Flash Lift Bonder Inside::global,Redken,Flash Lift / Flash Lift Bonder Inside,lightener,,,,,global,active,L'Oréal (Professional Products Division)
Redken::Chromatics::US,Redken,Chromatics,permanent,,,,,US,unclear,L'Oréal (Professional Products Division)
Redken::Shades ALK::US,Redken,Shades ALK,unknown,,,,,US,active,L'Oréal (Professional Products Division)
Redken::Blonde Idol::US,Redken,Blonde Idol,unknown,,,,,US,active,L'Oréal (Professional Products Division)
Redken::Blonde IQ::US,Redken,Blonde IQ,unknown,,,,,US,active,L'Oréal (Professional Products Division)
Redken::Color Camo::US,Redken,Color Camo,unknown,,,,,US,active,L'Oréal (Professional Products Division)
Wella Professionals::Koleston Perfect::US,Wella Professionals,Koleston Perfect,permanent,1:1,20,35,"{""mixing_ratio"": ""1:1"", ""developer_volume"": 20, ""processing_time_minutes"": 35, ""raw"": {""default_mixing_ratio"": ""1:1 with Welloxon Perfect (Pure Naturals, Rich Naturals, Vibrant Reds, Deep Browns); 1:2 for Special Blonde; Special Mix 1:1 except 0/43 at 1:2"", ""developer_options"": [""Welloxon Perfect Pastel 1.9%"", ""Welloxon Perfect 4%"", ""Welloxon Perfect 6%"", ""Welloxon Perfect 9%"", ""Welloxon Perfect 12%"", ""wella_kp_standard_processing_times: {\""standard_without_heat_min\"": [30, 40], \""standard_with_heat_min\"": [15, 25], \""special_blondes_without_heat_min\"": [50, 60], \""special_blondes_with_heat_min\"": [25, 35], \""pure_soft_balance_after_development_min\"": [5, 10]}""], ""developer_strengths_if_stated"": [""1.9% (6 Vol) - for color balancing, blonde toning and glossing services"", ""4% (13 Vol) - same depth or darker; deeper results on natural hair with no grey coverage required"", ""6% (20 Vol) - 1 level of lift; coverage of grey hair; same depth or darker"", ""9% (30 Vol) - 2 levels of lift; 3 levels with Special Blonde"", ""12% (40 Vol) - 3 levels of lift; 4-5 levels with Special Blonde""], ""processing_time_ranges"": [""Standard shades (Pure Naturals/Rich Naturals/Vibrant Reds/Deep Browns): 30-40 min without heat; 15-25 min with heat (Climazon)"", ""Special Blonde: 50-60 min without heat; 25-35 min with heat"", ""Full-head application with lightening, step 1 (lengths and ends): 20 min without heat / 10 min with heat (Pure Naturals/Rich Naturals/Deep Browns)"", ""Pastel toning: up to 15 min without heat, combing every 5 min"", ""Color leveling on lengths and ends: 5-10 min without heat"", ""Glossing (Welloxon Perfect Pastel 1.9%): 5-15 min"", ""Intense Balance: apply to lengths for last 10-15 min of root development""]}}",US,active,Wella Company
