brand,product_line,rule_category,rule_name,rule_condition,rule_action,source_key
Schwarzkopf Professional,IGORA ROYAL Core,processing,igora_royal_standard_mix_process,"{""line"": ""IGORA ROYAL Core""}","{""mixing_ratio"": ""1:1"", ""developer_volumes"": [10, 20, 30], ""processing_time_min"": [30, 45], ""apply_to"": ""dry_unwashed_hair""}",schwarzkopf_professional_igora_royal_technical_instructions_p7_10
Schwarzkopf Professional,IGORA ROYAL Highlifts,lift,igora_royal_10_series_highlift,"{""sub_range"": ""10-series"", ""starting_level_min"": 7}","{""mixing_ratio"": ""1:1"", ""developer_options"": [{""volume"": 30, ""max_lift_levels"": 3}, {""volume"": 40, ""max_lift_levels"": 4}], ""processing_time_min"": [30, 45], ""white_hair_coverage"": false}",schwarzkopf_professional_igora_royal_technical_instructions_p7_10
Schwarzkopf Professional,IGORA ROYAL Highlifts,lift,igora_royal_12_series_highlift,"{""sub_range"": ""12-series"", ""starting_level_min"": 6}","{""mixing_ratio"": ""1:2"", ""developer_options"": [{""volume"": 30, ""max_lift_levels"": 4}, {""volume"": 40, ""max_lift_levels"": 5}], ""processing_time_min"": [30, 45], ""white_hair_coverage"": false}",schwarzkopf_professional_igora_royal_technical_instructions_p7_10
Schwarzkopf Professional,IGORA ROYAL Core,gray_coverage,igora_fashion_gray_mix_rule,"{""shade_families"": [""-11"", ""-12"", ""-13"", ""-5"", ""-55"", ""-57"", ""-6"", ""-63"", ""-65"", ""-68"", ""-7"", ""-77"", ""-88"", ""-98"", ""-99""], ""gray_pct_min"": 50}","{""mix_with_natural"": ""2:1 fashion:natural"", ""resistant_hair_mix"": ""1:1 fashion:natural""}",schwarzkopf_professional_igora_royal_technical_instructions_p7_10
Schwarzkopf Professional,IGORA ROYAL Specialties,neutralization,igora_neutralizer_amounts_by_level,"{""shades"": [""0-11"", ""0-22"", ""0-33""]}","{""additive_max_pct_by_level"": {""8-9"": 5, ""6-7"": 15, ""1-5"": 25}, ""developer_increase_proportionally"": true}",schwarzkopf_professional_igora_royal_technical_instructions_p7_10
Schwarzkopf Professional,IGORA ROYAL Fashion Lights,application,igora_fashion_lights_off_scalp_only,"{""line"": ""IGORA ROYAL Fashion Lights""}","{""mixing_ratio"": ""1:1"", ""developer_volume"": 40, ""processing_time_min"": [30, 45], ""max_lift_levels"": 5, ""application"": ""off_scalp_only"", ""starting_level_max"": 6}",schwarzkopf_professional_igora_royal_technical_instructions_p7_10
Moroccanoil,Color Calypso Demi-Permanent Gloss,processing,moroccanoil_calypso_gloss_mix_process,"{""line"": ""Color Calypso Demi-Permanent Gloss""}","{""mixing_ratio"": ""1:1"", ""developer"": ""Color Calypso Demi-Permanent Gloss Activator"", ""processing_time_min_without_heat"": 20, ""processing_time_min_with_heat"": 15, ""gray_blending_pct_max"": 60}",moroccanoil_moroccanoil_usage_guidelines_p28_44
Moroccanoil,Color Calypso Demi-Permanent Cream Color,processing,moroccanoil_calypso_cream_mix_process,"{""line"": ""Color Calypso Demi-Permanent Cream Color""}","{""mixing_ratio"": ""1:2"", ""developer_volumes"": [5, 15], ""processing_time_min_without_heat"": 25, ""processing_time_min_with_heat"": 20, ""gray_blending_pct_max"": 60}",moroccanoil_moroccanoil_usage_guidelines_p28_44
Moroccanoil,Color Rhapsody Permanent Cream Color,processing,moroccanoil_rhapsody_perm_mix_process,"{""line"": ""Color Rhapsody Permanent Cream Color""}","{""mixing_ratio"": ""1:1"", ""developer_volumes"": [5, 10, 20, 30, 40], ""processing_time_min_without_heat"": [35, 45], ""processing_time_min_with_heat"": [15, 25], ""gray_coverage_pct_max"": 100}",moroccanoil_moroccanoil_usage_guidelines_p28_44
Moroccanoil,Color Rhapsody High Lift Permanent Cream Color,lift,moroccanoil_rhapsody_high_lift,"{""line"": ""Color Rhapsody High Lift Permanent Cream Color"", ""starting_level_min"": 6}","{""mixing_ratio"": ""1:2"", ""developer_options"": [{""volume"": 30, ""max_lift_levels"": 4, ""processing_time_min"": 50}, {""volume"": 40, ""max_lift_levels"": 5, ""processing_time_min"": 60}], ""heat"": false}",moroccanoil_moroccanoil_usage_guidelines_p28_44
Moroccanoil,Color Rhapsody Ultimates Permanent Cream Color,gray_coverage,moroccanoil_rhapsody_ultimates_resistant_gray,"{""line"": ""Color Rhapsody Ultimates Permanent Cream Color"", ""gray_pct_min"": 50}","{""use_alone"": true, ""mixing_ratio"": ""1:1"", ""developer_volume_recommended"": 20, ""gray_coverage_pct"": 100, ""processing_time_min"": [35, 45]}",moroccanoil_moroccanoil_usage_guidelines_p28_44
Moroccanoil,Color Rhapsody Permanent Cream Color,gray_coverage,moroccanoil_rhapsody_gray_natural_ratio,"{""line"": ""Color Rhapsody Permanent Cream Color"", ""gray_pct_min"": 25}","{""ratios"": [{""gray_pct"": ""25-50"", ""natural_to_desired"": ""1:2""}, {""gray_pct"": ""50-100"", ""natural_to_desired"": ""1:1""}, {""gray_pct"": ""red_above_50"", ""natural_to_desired_red"": ""1:2""}], ""developer_volume_recommended"": 20}",moroccanoil_moroccanoil_usage_guidelines_p28_44
Redken,Color Fusion Advanced Performance Color Cream,processing,redken_color_fusion_mix_process,"{""line"": ""Color Fusion""}","{""mixing_ratio"": ""1:1"", ""developer_volumes"": [10, 20, 30, 40], ""processing_time_min"": [35, 45], ""heat"": false}",redken_redken_mixing_and_processing_charts_p55_68
Redken,Cover Fusion Low Ammonia Color Cream,gray_coverage,redken_cover_fusion_50_plus_gray,"{""line"": ""Cover Fusion"", ""gray_pct_min"": 50}","{""mixing_ratio"": ""1:1"", ""developer_volume"": 20, ""processing_time_min"": 35, ""resistant_hair_processing_time_min"": 45, ""max_lift_levels"": 2, ""heat"": false}",redken_redken_mixing_and_processing_charts_p55_68
Redken,Color Fusion Extra Lift,lift,redken_color_fusion_extra_lift,"{""line"": ""Color Fusion Extra Lift""}","{""mixing_ratio"": ""1:2"", ""developer_by_family"": {""Violet"": 40, ""Light Neutral"": 40, ""Blue"": 40, ""Titanium"": [30, 40]}, ""max_lift_levels"": 5, ""processing_time_min"": [35, 45], ""intermix_only_with_same_subline"": true}",redken_redken_mixing_and_processing_charts_p55_68
Redken,Color Gels Oils,processing,redken_color_gels_oils_mix_process,"{""line"": ""Color Gels Oils""}","{""mixing_ratio"": ""1:1"", ""developer_options"": [{""volume"": 10, ""max_lift_levels"": 1, ""processing_time_min"": 20}, {""volume"": 20, ""max_lift_levels"": 2, ""processing_time_min"": 30}, {""volume"": 30, ""max_lift_levels"": 3, ""processing_time_min"": 40}, {""volume"": 40, ""max_lift_levels"": 3, ""processing_time_min"": 45}], ""heat"": false}",redken_redken_mixing_and_processing_charts_p55_68
Redken,Color Gels 10 Minute,processing,redken_color_gels_10_minute,"{""line"": ""Color Gels 10 Minute""}","{""mixing_ratio"": ""1:1"", ""developer_options"": [{""volume"": 20, ""usage"": ""minimal_lift_gray_coverage""}, {""volume"": 30, ""usage"": ""minimal_lift_gray_blending""}], ""processing_time_min"": [10, 15], ""heat"": false}",redken_redken_mixing_and_processing_charts_p55_68
Redken,Color Gels Lacquers,intermixing,redken_cgl_carminr_r5_intermix_restriction,"{""line"": ""Color Gels Lacquers"", ""families"": [""R5"", ""CarminR""]}","{""intermix_restriction"": ""use_alone_or_only_with_R5_or_CarminR"", ""warning"": ""Mixing outside the range can cause unpredictable results""}",redken_redken_mixing_and_processing_charts_p55_68
Redken,Shades EQ Gloss / Bonder Inside,processing,redken_shades_eq_mix_process,"{""line"": ""Shades EQ""}","{""mixing_ratio"": ""1:1"", ""developer"": ""Shades EQ Processing Solution or Gloss to Gel Processing Solution"", ""max_lift_levels"": 0, ""processing_time_min"": 20}",redken_redken_mixing_and_processing_charts_p55_68
Aveda,Full Spectrum Permanent Hair Color,processing,aveda_natural_intense_mix_process,"{""line"": ""Full Spectrum"", ""series"": [""natural"", ""intense""]}","{""mixing_ratio"": ""1:1"", ""developer_by_lift"": [{""lift_levels"": 4, ""developer_volume"": 40, ""processing_time_min"": 45}, {""lift_levels"": 3, ""developer_volume"": 30, ""processing_time_min"": 40}, {""lift_levels"": 2, ""developer_volume"": 20, ""processing_time_min"": 30}, {""lift_levels"": 1, ""developer_volume"": 10, ""processing_time_min"": 20}, {""lift_levels"": ""0-1"", ""developer_volume"": 5, ""processing_time_min"": 20}]}",aveda_aveda_full_spectrum_formulation_guidelines_p1_2
Aveda,Full Spectrum Permanent Hair Color,lift,aveda_extra_lift_pastel_blonde,"{""line"": ""Full Spectrum"", ""series"": ""extra lift pastel blonde""}","{""mixing_ratio"": ""1:2"", ""developer_by_lift"": [{""lift_levels"": 5, ""developer_volume"": 40, ""processing_time_min"": 45}, {""lift_levels"": 4, ""developer_volume"": 30, ""processing_time_min"": 30}], ""max_lift_levels"": 5}",aveda_aveda_full_spectrum_formulation_guidelines_p1_2
Aveda,Full Spectrum Permanent Hair Color,color_science,aveda_nrp_complementary_tone,"{""line"": ""Full Spectrum"", ""uses_natural_remaining_pigment"": true}","{""neutralize"": ""choose tone opposite NRP"", ""intensify"": ""choose tones same as NRP"", ""level_map"": {""10"": {""nrp"": ""Pale Yellow"", ""complement"": ""Violet""}, ""9"": {""nrp"": ""Yellow"", ""complement"": ""Violet""}, ""8"": {""nrp"": ""Yellow/Orange"", ""complement"": ""Blue/Violet""}, ""7"": {""nrp"": ""Orange"", ""complement"": ""Blue""}, ""6"": {""nrp"": ""Red/Orange"", ""complement"": ""Blue/Green""}, ""5"": {""nrp"": ""Red"", ""complement"": ""Green""}}}",aveda_aveda_full_spectrum_formulation_guidelines_p1_2
Aveda,Full Spectrum Permanent Hair Color,formulation,aveda_pure_tone_standard_amount_by_desired_level,"{""formula_intent"": ""standard_customized_natural_result"", ""line"": ""Full Spectrum Permanent Hair Color"", ""series"": ""natural""}","{""developer_ml"": 40, ""developer_ratio"": ""1:1"", ""levels_not_recommended_for_customization"": [1, 2], ""natural_series_shade_g"": 40, ""pure_tone_amount_by_desired_level"": {""10"": 2, ""3"": 8, ""4"": 6, ""5"": 4, ""6"": 2, ""7"": 8, ""8"": 6, ""9"": 4}}",aveda_aveda_full_spectrum_permanent_customization_mixing_chart_p2
Aveda,Full Spectrum Permanent Hair Color,formulation,aveda_light_vs_dark_pure_tone_selection_by_level,"{""line"": ""Full Spectrum Permanent Hair Color"", ""uses_pure_tone"": true}","{""dark_pure_tones"": [""Dark N/N"", ""Dark B/V"", ""Dark B/G"", ""Dark Y/O"", ""Dark R/O"", ""Dark V/R""], ""dark_pure_tones_for_levels"": [3, 4, 5, 6], ""light_pure_tones"": [""Light N/N"", ""Light V/B"", ""Light B/B"", ""Light Y/O"", ""Light O/R""], ""light_pure_tones_for_levels"": [7, 8, 9, 10], ""not_recommended_levels"": [1, 2], ""red_family_can_use_red_pure_pigment_at_levels"": [3, 4, 5, 6]}",aveda_aveda_full_spectrum_permanent_customization_mixing_chart_p2
Aveda,Full Spectrum Permanent Hair Color,formulation,aveda_natural_series_customization_matrix,"{""formula_component_model"": ""natural shade + pure tone"", ""line"": ""Full Spectrum Permanent Hair Color"", ""series"": ""natural""}","{""formulas"": [{""base"": ""10Natural"", ""base_g"": 40, ""level"": 10, ""modifier_g"": 2, ""modifiers_by_family"": {""ash"": ""Light V/B"", ""copper"": ""Light O/R"", ""gold"": ""Light Y/O"", ""intense_ash"": ""Light B/B"", ""natural/natural"": ""Light N/N""}}, {""base"": ""9Natural"", ""base_g"": 40, ""level"": 9, ""modifier_g"": 4, ""modifiers_by_family"": {""ash"": ""Light V/B"", ""copper"": ""Light O/R"", ""gold"": ""Light Y/O"", ""intense_ash"": ""Light B/B"", ""natural/natural"": ""Light N/N""}}, {""base"": ""8Natural"", ""base_g"": 40, ""level"": 8, ""modifier_g"": 6, ""modifiers_by_family"": {""ash"": ""Light V/B"", ""copper"": ""Light O/R"", ""gold"": ""Light Y/O"", ""intense_ash"": ""Light B/B"", ""natural/natural"": ""Light N/N""}}, {""base"": ""7Natural"", ""base_g"": 40, ""level"": 7, ""modifier_g"": 8, ""modifiers_by_family"": {""ash"": ""Light V/B"", ""copper"": ""Light O/R"", ""gold"": ""Light Y/O"", ""intense_ash"": ""Light B/B"", ""natural/natural"": ""Light N/N""}}, {""base"": ""6Natural"", ""base_g"": 40, ""level"": 6, ""modifier_g"": 2, ""modifiers_by_family"": {""ash"": ""Dark B/V"", ""copper"": ""Dark R/O"", ""gold"": ""Dark Y/O"", ""intense_ash"": ""Dark B/G"", ""natural/natural"": ""Dark N/N"", ""red"": ""Red Pure Pigment"", ""violet_red"": ""Dark V/R""}}, {""base"": ""5Natural"", ""base_g"": 40, ""level"": 5, ""modifier_g"": 4, ""modifiers_by_family"": {""ash"": ""Dark B/V"", ""copper"": ""Dark R/O"", ""gold"": ""Dark Y/O"", ""intense_ash"": ""Dark B/G"", ""natural/natural"": ""Dark N/N"", ""red"": ""Red Pure Pigment"", ""violet_red"": ""Dark V/R""}}, {""base"": ""4Natural"", ""base_g"": 40, ""level"": 4, ""modifier_g"": 6, ""modifiers_by_family"": {""ash"": ""Dark B/V"", ""copper"": ""Dark R/O"", ""gold"": ""Dark Y/O"", ""intense_ash"": ""Dark B/G"", ""natural/natural"": ""Dark N/N"", ""red"": ""Red Pure Pigment"", ""violet_red"": ""Dark V/R""}}, {""base"": ""3Natural"", ""base_g"": 40, ""level"": 3, ""modifier_g"": 8, ""modifiers_by_family"": {""ash"": ""Dark B/V"", ""copper"": ""Dark R/O"", ""gold"": ""Dark Y/O"", ""intense_ash"": ""Dark B/G"", ""natural/natural"": ""Dark N/N"", ""red"": ""Red Pure Pigment"", ""violet_red"": ""Dark V/R""}}], ""levels_not_recommended_for_customization"": [1, 2], ""mixing_ratio"": ""1:1""}",aveda_aveda_full_spectrum_permanent_customization_mixing_chart_p2
Aveda,Full Spectrum Permanent Hair Color,formulation,aveda_intense_series_customization_matrix,"{""formula_component_model"": ""natural shade + intense base + pure tone or red pure pigment"", ""line"": ""Full Spectrum Permanent Hair Color"", ""series"": ""intense""}","{""developer_ml"": 40, ""developer_ratio"": ""1:1"", ""intense_base_g"": 30, ""levels_not_recommended_for_customization"": [1, 2], ""modifier_amount_by_level"": {""10"": 4, ""3"": 16, ""4"": 12, ""5"": 8, ""6"": 4, ""7"": 16, ""8"": 12, ""9"": 8}, ""modifier_by_family"": {""intense_copper"": {""levels_3_to_6"": ""Dark R/O"", ""levels_7_to_10"": ""Light O/R""}, ""intense_red"": {""levels_3_to_6"": ""Red Pure Pigment""}, ""intense_violet_red"": {""levels_3_to_6"": ""Dark V/R""}}, ""natural_series_shade_g"": 10}",aveda_aveda_full_spectrum_permanent_customization_mixing_chart_p2
Aveda,Full Spectrum Permanent Hair Color,formulation,aveda_pure_pigment_usage_rules,"{""line"": ""Full Spectrum Permanent Hair Color"", ""modifier_type"": ""pure_pigment""}","{""levels_7_to_10_warning"": ""pure pigments are not recommended for natural-looking results because dye concentration is high"", ""natural_series_levels_3_to_6_add_tonality"": ""replace pure tones with pure pigments at up to double amount recommended for level"", ""natural_series_levels_3_to_6_intensify"": ""use pure tone at recommended amount and add up to equal amount of pure pigment"", ""pure_primary_secondary_on_prelightened_hair"": {""developer_volume"": 5, ""mixing_ratio"": ""1:1"", ""processing_time_min"": [10, 20]}}",aveda_aveda_full_spectrum_permanent_customization_mixing_chart_p2
Aveda,Full Spectrum Permanent Hair Color,formulation,aveda_vibrancy_guide,"{""line"": ""Full Spectrum Permanent Hair Color"", ""service"": ""customized_result_vibrancy""}","{""bright"": {""intense_base_g"": 20, ""natural_series_g"": 20, ""pure_tone_amount"": ""double_for_level""}, ""intense"": {""intense_base_g"": 30, ""natural_series_g"": 10, ""pure_tone_amount"": ""double_for_level""}, ""soft"": {""natural_series_g"": 40, ""pure_tone_amount"": ""50_percent_less_than_level_standard""}, ""standard"": {""natural_series_g"": 40, ""pure_tone_amount"": ""recommended_for_level""}, ""strong"": {""natural_series_g"": 40, ""pure_tone_amount"": ""50_percent_more_than_level_standard""}}",aveda_aveda_full_spectrum_permanent_customization_mixing_chart_p2
Aveda,Full Spectrum Permanent Hair Color,formulation,aveda_universal_on_customization_guide,"{""base_component"": ""Universal ØN"", ""line"": ""Full Spectrum Permanent Hair Color""}","{""categories"": {""soft_color_refreshing_or_glossing"": {""natural_series_g"": 0, ""pure_tone_g_range"": [0, 8], ""universal_on_g"": 40}, ""standard_toning_prelightened_or_toning_down"": {""natural_series_g"": 20, ""pure_tone_g_range"": [0, 8], ""universal_on_g"": 20}, ""strong_clear_tone"": {""natural_series_g"": 0, ""pure_tone_g_range"": [10, 20], ""universal_on_g"": 40}}, ""developer_volume"": 5}",aveda_aveda_full_spectrum_permanent_customization_mixing_chart_p2
Aveda,Full Spectrum Permanent Hair Color,formulation,aveda_extra_lift_pastel_blonde_intensity_guide,"{""line"": ""Full Spectrum Permanent Hair Color"", ""series"": ""extra_lift_pastel_blonde""}","{""mixing_ratio"": ""1:2"", ""soft"": {""extra_lifting_creme_g"": 40, ""pastel_tone_g"": 2}, ""standard"": {""extra_lifting_creme_g"": 40, ""pastel_tone_g"": 4}, ""standard_developer_ml"": 80, ""standard_formulas"": {""extra_light_ash_blonde"": ""40g ELC + 4g Pastel Blue"", ""extra_light_golden_blonde"": ""40g ELC + 4g Pastel Y/O"", ""extra_light_platinum_blonde"": ""40g ELC + 4g Pastel Violet""}, ""standard_total_mixture_ml"": 124, ""strong"": {""extra_lifting_creme_g"": 40, ""pastel_tone_g"": 8}}",aveda_aveda_full_spectrum_permanent_customization_mixing_chart_p2
Aveda,Full Spectrum Permanent Hair Color,formulation,aveda_color_balancing_guide,"{""line"": ""Full Spectrum Permanent Hair Color"", ""service"": ""color_balance_or_gloss""}","{""clear_gloss"": {""universal_on_g"": 40}, ""color_balance"": {""natural_series_g"": 40, ""pure_tone_amount"": ""standard_for_level""}, ""extreme_gloss"": {""pure_tone_or_pure_pigment_g"": 20, ""universal_on_g"": 20}, ""natural_tonal_gloss"": {""natural_series_g"": 20, ""pure_tone_amount"": ""standard_for_level"", ""universal_on_g"": 20}, ""pure_on_prelightened_pale_yellow"": {""pure_pigment_g"": 20}, ""tonal_gloss"": {""pure_tone_g"": 8, ""universal_on_g"": 40}}",aveda_aveda_full_spectrum_permanent_customization_mixing_chart_p2
Aveda,Full Spectrum Permanent Hair Color,correction,aveda_precoloration_target_level_formula_matrix,"{""condition"": ""desired shade is 3 or more levels darker than previously colored hair"", ""line"": ""Full Spectrum"", ""service"": ""precoloration""}","{""processing_time_min"": [15, 20], ""recolor_after"": ""apply desired Full Spectrum Permanent shade with 20 volume developer for 30 minutes"", ""target_level_formulas"": {""1"": {""same_as_level_3"": true}, ""10"": ""N/A"", ""2"": {""same_as_level_3"": true}, ""3"": {""intense_copper_red_vr"": ""10g 3N + 30g ØN + 16g Dark R/O/Dark R/R/Dark R/V"", ""light_copper_dark_copper_red_vr"": ""20g 3N + 20g ØN + 16g Dark R/O/Dark R/R/Dark R/V"", ""natural_ash_gold"": ""20g 3N + 20g ØN + 4g Dark Y/O + 4g Dark R/O""}, ""4"": {""intense_copper_red_vr"": ""10g 4N + 30g ØN + 12g Dark R/O/Dark R/R/Dark R/V"", ""light_copper_dark_copper_red_vr"": ""20g 4N + 20g ØN + 12g Dark R/O/Dark R/R/Dark R/V"", ""natural_ash_gold"": ""20g 4N + 20g ØN + 3g Dark Y/O + 3g Dark R/O""}, ""5"": {""intense_copper_red_vr"": ""10g 5N + 30g ØN + 8g Dark R/O/Dark R/R/Dark R/V"", ""light_copper_dark_copper_red_vr"": ""20g 5N + 20g ØN + 8g Dark R/O/Dark R/R/Dark R/V"", ""natural_ash_gold"": ""20g 5N + 20g ØN + 2g Dark Y/O + 2g Dark R/O""}, ""6"": {""intense_copper_red_vr"": ""10g 6N + 30g ØN + 4g Dark R/O/Dark R/R/Dark R/V"", ""light_copper_dark_copper_red_vr"": ""20g 6N + 20g ØN + 4g Dark R/O/Dark R/R/Dark R/V"", ""natural_ash_gold"": ""20g 6N + 20g ØN + 1g Dark Y/O + 1g Dark R/O""}, ""7"": {""intense_copper_red_vr"": ""10g 7N + 30g ØN + 16g Light O/R"", ""light_copper_dark_copper_red_vr"": ""20g 7N + 20g ØN + 8g Light O/R"", ""natural_ash_gold"": ""20g 7N + 20g ØN + 8g Light Y/O""}, ""8"": {""intense_copper_red_vr"": ""10g 8N + 30g ØN + 12g Light O/R"", ""light_copper_dark_copper_red_vr"": ""20g 8N + 20g ØN + 6g Light O/R"", ""natural_ash_gold"": ""20g 8N + 20g ØN + 6g Light Y/O""}, ""9"": {""intense_copper_red_vr"": ""10g 9N + 30g ØN + 8g Light O/R"", ""light_copper_dark_copper_red_vr"": ""20g 9N + 20g ØN + 4g Light O/R"", ""natural_ash_gold"": ""20g 9N + 20g ØN + 4g Light Y/O""}}, ""use_product"": ""Full Spectrum Deposit-Only Color Treatment + Universal ØN""}",aveda_aveda_full_spectrum_permanent_customization_mixing_chart_p2
