conversion_id,source_canonical_key,source_shade_code,target_canonical_key,target_shade_code,strategy,mapping_confidence,component_role,normalized_tones,notes,source_document
seq_10n__vibrance,Redken::Shades EQ Gloss::US,10N,Schwarzkopf Professional::IGORA VIBRANCE::US,9.5-21,fixed,high,base,,VIBRANCE formula: 9.5-21 + 10-5 + 0-00 (3:4:1.5),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_09n__vibrance,Redken::Shades EQ Gloss::US,09N,Schwarzkopf Professional::IGORA VIBRANCE::US,9-0,fixed,high,base,,VIBRANCE formula: 9-0 + 9-1 (3:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_08n__vibrance,Redken::Shades EQ Gloss::US,08N,Schwarzkopf Professional::IGORA VIBRANCE::US,8-0,fixed,high,base,,VIBRANCE formula: 8-46 + 8-0 (2:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_07n__vibrance,Redken::Shades EQ Gloss::US,07N,Schwarzkopf Professional::IGORA VIBRANCE::US,7-1,fixed,high,base,,VIBRANCE formula: 8-0 + 7-1 (2:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_06n__vibrance,Redken::Shades EQ Gloss::US,06N,Schwarzkopf Professional::IGORA VIBRANCE::US,6-0,fixed,high,base,,VIBRANCE formula: 6-0 + 6-12 + 0-00 (4:2:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_05n__vibrance,Redken::Shades EQ Gloss::US,05N,Schwarzkopf Professional::IGORA VIBRANCE::US,6-63,fixed,high,base,,VIBRANCE formula: 6-63 + 6-12 (3:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_04n__vibrance,Redken::Shades EQ Gloss::US,04N,Schwarzkopf Professional::IGORA VIBRANCE::US,4-0,fixed,high,base,,VIBRANCE formula: 4-0,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_03n__vibrance,Redken::Shades EQ Gloss::US,03N,Schwarzkopf Professional::IGORA VIBRANCE::US,3-0,fixed,high,base,,VIBRANCE formula: 4-0 + 3-0 (3:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_09nb__vibrance,Redken::Shades EQ Gloss::US,09NB,Schwarzkopf Professional::IGORA VIBRANCE::US,9.5-4,fixed,high,base,,VIBRANCE formula: 9.5-4,SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
seq_07nb__vibrance,Redken::Shades EQ Gloss::US,07NB,Schwarzkopf Professional::IGORA VIBRANCE::US,7-0,fixed,high,base,,VIBRANCE formula: 7-0 + 7-65 (3:1),SKP_SALONORY-US_Document_PDF_NA_IV-Conversion-Guide_2024
