source_key,brand,document_filename,page_start,page_end,source_label,source_tier,access_status
schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,Schwarzkopf Professional,445122692-schwarzkopf-quick-starter-guide.pdf,4,5,IGORA ROYAL assortment shade chart,manufacturer_pdf,available_uploaded_pdf
schwarzkopf_professional_igora_royal_technical_instructions_p7_10,Schwarzkopf Professional,445122692-schwarzkopf-quick-starter-guide.pdf,7,10,IGORA ROYAL technical instructions,manufacturer_pdf,available_uploaded_pdf
moroccanoil_moroccanoil_shade_guide_p20_22,Moroccanoil,900375675-Moroccanoil-Color-Manual-Final-1.pdf,20,22,Moroccanoil shade guide,manufacturer_pdf,available_uploaded_pdf
moroccanoil_moroccanoil_usage_guidelines_p28_44,Moroccanoil,900375675-Moroccanoil-Color-Manual-Final-1.pdf,28,44,Moroccanoil usage guidelines,manufacturer_pdf,available_uploaded_pdf
redken_redken_shade_charts_p56_69,Redken,1034804579-2025-Product-Guide-Avec-Compression.pdf,56,69,Redken shade charts,manufacturer_pdf,available_uploaded_pdf
redken_redken_mixing_and_processing_charts_p55_68,Redken,1034804579-2025-Product-Guide-Avec-Compression.pdf,55,68,Redken mixing and processing charts,manufacturer_pdf,available_uploaded_pdf
aveda_aveda_full_spectrum_formulation_guidelines_p1_2,Aveda,452808418-Full-Spectrum-Color.pdf,1,2,Aveda Full Spectrum formulation guidelines,manufacturer_pdf,available_uploaded_pdf
aveda_aveda_full_spectrum_tone/pigment_chart_p1_2,Aveda,452808418-Full-Spectrum-Color.pdf,1,2,Aveda Full Spectrum tone/pigment chart,manufacturer_pdf,available_uploaded_pdf
aveda_aveda_full_spectrum_permanent_customization_mixing_chart_p2,Aveda,452808418-Full-Spectrum-Color.pdf,2,2,Aveda Full Spectrum permanent customization mixing chart,manufacturer_pdf,available_uploaded_pdf
wella_koleston_perfect_me_colour_chart_p3_8,Wella Professionals,669754135-Wella-Professionals-KPME-colour-chart.pdf,3,8,Koleston Perfect ME+ shade chart pages 3-8,manufacturer_pdf,available_uploaded_pdf
wella_koleston_perfect_me_technical_rules_p9_10,Wella Professionals,669754135-Wella-Professionals-KPME-colour-chart.pdf,9,10,"Koleston Perfect ME+ numbering, white hair, processing and application rules",manufacturer_pdf,available_uploaded_pdf
wella_color_essential_numbering_curve_p7_10,Wella Professionals,496396163-Wella-Color-Notes.pdf,7,10,"Wella Color Essential numbering system, tone families, lightening curve, shade portfolio",manufacturer_pdf,available_uploaded_pdf
wella_color_touch_ebook_p2_10,Wella Professionals,628249492-Color-Touch-Rob-Eaton-2020-eBook.pdf,2,10,"Color Touch technology, shade numbering, subranges, special mix, relights and instamatic rules",manufacturer_pdf,available_uploaded_pdf
matrix_2023_manual_consultation_formulation_p7_14,Matrix,856079182-2023-Matrix-Manual-Haircolor.pdf,7,14,"Matrix Hair Diversity Matrix, underlying pigment, developer and texture rules",manufacturer_pdf,available_uploaded_pdf
matrix_2023_manual_permanent_rules_p16_40,Matrix,856079182-2023-Matrix-Manual-Haircolor.pdf,16,40,"Matrix permanent color technologies, usage and shade palettes",manufacturer_pdf,available_uploaded_pdf
matrix_2023_manual_demi_rules_p42_50,Matrix,856079182-2023-Matrix-Manual-Haircolor.pdf,42,50,"Matrix demi-permanent technologies, usage and shade palettes",manufacturer_pdf,available_uploaded_pdf
loreal_dia_color_chart_p2_16,L'Oréal Professionnel,366028726-Loreal-Professionnel-Dia-Color-Chart.pdf,2,16,"Dia Light and Dia Richesse shade chart, technology, preparation and application rules",manufacturer_pdf,available_uploaded_pdf
